pattern,class,weight,note,source
\bmust\b,fc,1.0,from_v1,v1
\bshould\b,fc,1.0,from_v1,v1
\bhave\s+to\b,fc,1.0,from_v1,v1
\bneed\s+to\b,fc,1.0,from_v1,v1
\bought\s+to\b,fc,1.0,from_v1,v1
\bit\s+is\s+time\s+to\b,fc,1.0,from_v1,v1
\bdemand\b,fc,1.0,from_v1,v1
\bcall(s)?\s+for\b,fc,1.0,from_v1,v1
\burge\b,fc,1.0,from_v1,v1
\baccelerate\b,fc,1.0,from_v1,v1
\bspeed\s+up\b,fc,1.0,from_v1,v1
\bstrengthen\b,fc,1.0,from_v1,v1
\bexpand\b,fc,1.0,from_v1,v1
\bimplement\b,fc,1.0,from_v1,v1
\badopt\b,fc,1.0,from_v1,v1
\benact\b,fc,1.0,from_v1,v1
\binvest\b,fc,1.0,from_v1,v1
\bprioritize\b,fc,1.0,from_v1,v1
\bimmediately\b,fc,1.0,from_v1,v1
\burgently\b,fc,1.0,from_v1,v1
\bat\s+once\b,fc,1.0,from_v1,v1
\boppose\b,fi,1.0,from_v1,v1
\bblock\b,fi,1.0,from_v1,v1
\bprevent\b,fi,1.0,from_v1,v1
\bban\b,fi,1.0,from_v1,v1
\bprohibit\b,fi,1.0,from_v1,v1
\bhalt\b,fi,1.0,from_v1,v1
\bsuspend\b,fi,1.0,from_v1,v1
\bfreeze\b,fi,1.0,from_v1,v1
\bdelay\b,fi,1.0,from_v1,v1
\bslow\s+down\b,fi,1.0,from_v1,v1
\brepeal\b,fi,1.0,from_v1,v1
\broll\s+back\b,fi,1.0,from_v1,v1
\brefuse\s+to\b,fi,1.0,from_v1,v1
\babstain\s+from\b,fi,1.0,from_v1,v1
\bdo\s+not\s+\w+\b,fi,1.0,from_v1,v1
\bconsider\b,fc,1.0,from_v1,v1
\bpolitical\s+will\b,fc,1.0,from_v1,v1
\burge\s+(?:my\s+)?colleagues\b,fc,1.0,from_v1,v1
\btake\s+action\b,fc,1.0,from_v1,v1
\bcannot\s+stand\s+by\b,fc,1.0,from_v1,v1
\bmove\s+forward\b,fc,1.0,from_v1,v1
\bwill\s+(harm|undermine|weaken|damage)\b,fi,1.0,from_v1,v1
\bfail(?:s|ed|ure)?\s+to\b,fi,1.0,from_v1,v1
\bgrave\s+concerns?\b,fi,1.0,from_v1,v1
\b(?:we\s+)?will\s+(?!not\s)(take|implement|ensure|deliver|enforce)\b,fc,1.3,commitment_action,context
\b(?:we\s+)?must\s+(?!not\s)(invest|protect|strengthen|advance|enforce)\b,fc,1.4,imperative_action,context
\bwill\s+(?!not\s)(harm|undermine|weaken|damage)\b,fi,1.2,negative_consequence,context
\bmust\s+(?!not\s)(prevent|avoid|stop|halt)\b,fi,1.3,imperative_prevention,context
\brise\s+in\s+opposition\b,fi,1.4,us_congress_specific,context
\b(?:serious|grave)\s+concerns?\b,fi,1.2,concern_expression,context
\bwill\s+not\s+(take|implement|ensure)\b,neutral,0.0,negation_fc,negation
\bmust\s+not\s+(prevent|avoid|stop)\b,neutral,0.0,negation_fi,negation
