"TopFolder","Count","TotalMB"
".venv_old","1021","10,24"
"04_Code_Scripts","43","0,08"
"06_Environnement","9","0,04"
"artifacts","7","0,04"
"Objectif général du projet.docx","1","0,02"
"verify_lexicon.py","1","0,01"
"07_Config","8","0,01"
"01_Protocoles","4","0,01"
"setup_poc_raw_offdrive.ps1","1","0,01"
"Inventory-Workspace.ps1","1","0,01"
"data","11","0,01"
"tasks.ps1","1","0,01"
"Suivi du projet.docx","1","0,01"
"tests","8","0"
"02_Donnees_Corpus_LOURD","1","0"
"repair_lexicon.py","1","0"
"README.md","1","0"
".gitignore","1","0"
"02_Donnees_Corpus","1","0"
".vscode","1","0"
".gitattributes","1","0"
